IPO_company_name,Chittorgarh_link,Security_type,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_neutral,IPO_Member_avoid,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_RHP_doc,company_long_name,company_website,bse_link,bse_symbol,nse_link,nse_symbol,screener_link,gmp_company_name,gmp_website_link,day1_date,day1_price,day2_date,day2_price,day3_date,day3_price,day4_date,day4_price,day5_date,day5_price,day6_date,day6_price,day7_date,day7_price,day8_date,day8_price,day9_date,day9_price,day10_date,day10_price,day11_date,day11_price,day12_date,day12_price,day13_date,day13_price,day14_date,day14_price,day15_date,day15_price,day16_date,day16_price,day17_date,day17_price,day18_date,day18_price,day19_date,day19_price,day20_date,day20_price,day21_date,day21_price,day22_date,day22_price,day23_date,day23_price,day24_date,day24_price,day25_date,day25_price,day26_date,day26_price,day27_date,day27_price,day28_date,day28_price,day29_date,day29_price,day30_date,day30_price,day31_date,day31_price,day32_date,day32_price,day33_date,day33_price,ao_token,IPO_listing_price
Sangam Advisors Limited,https://www.chittorgarh.com/ipo/sangam_advisors_ipo/346/,SME,2012-07-24,2012-07-26,2012-08-09,10,22,6000,51000000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/jul-2012/sangam-advisors-limited_23107.html,Waaree Renewable Technologies Limited,,https://www.bseindia.com/stock-share-price/waaree-renewable-technologies-ltd/WAAREERTL/534618/,WAAREERTL,,,https://www.screener.in/company/534618/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534618,
Max Alert Systems Limited,https://www.chittorgarh.com/ipo/max_alert_systems_ipo/344/,SME,2012-06-28,2012-07-02,2012-07-13,10,20,6000,80000000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/jun-2012/max-alert-systems-limited_23030.html,Max Alert Systems Limited,http://www.maxalert.in/,https://www.bseindia.com/stock-share-price/max-alert-systems-ltd/MASL/534563/,MASL,,,https://www.screener.in/company/534563/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monarch Health Services Limited,https://www.chittorgarh.com/ipo/monarch_health_services_ipo/343/,SME,2012-05-12,2012-05-16,2012-05-30,10,40,3000,120000000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/may-2012/monarch-health-services-limited_22700.html,Looks Health Services Limited,,https://www.bseindia.com/stock-share-price/looks-health-services-ltd/LOOKS/534422/,LOOKS,,,https://www.screener.in/company/534422/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCB Finance Limited,https://www.chittorgarh.com/ipo/bcb_finance_ipo/335/,SME,2012-02-23,2012-02-27,2012-03-13,10,25,4000,88500000,0,0,0,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/feb-2012/bcb-finance-limited_22198.html,Pyxis Finvest Limited,http://www.pyxisfinvest.com/,https://www.bseindia.com/stock-share-price/pyxis-finvest-ltd/PYXISFIN/534109/,PYXISFIN,,,https://www.screener.in/company/534109/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534109,
Suyog Telematics Limited,https://www.chittorgarh.com/ipo/suyog_telematics_ipo/400/,SME,2013-12-30,2014-01-07,2014-01-22,10,25,6000,45300000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/dec-2013/suyog-telematics-limited-prospectus_25934.html,Suyog Telematics Limited,http://www.suyogtelematics.co.in,https://www.bseindia.com/stock-share-price/suyog-telematics-ltd/SUYOG/537259/,SUYOG,https://www.nseindia.com/get-quotes/equity?symbol=SUYOG,SUYOG,https://www.screener.in/company/SUYOG/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537259,
RCI Industries & Technologies Limited,https://www.chittorgarh.com/ipo/rci_industries_ipo/401/,SME,2013-12-30,2014-01-06,2014-01-21,10,40,3000,115200000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/dec-2013/rci-industries-and-technologies-limited_25949.html,RCI Industries & Technologies Limited,http://www.rciind.com,https://www.bseindia.com/stock-share-price/rci-industries-technologies-ltd/RCIIND/537254/,RCIIND,,,https://www.screener.in/company/537254/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentiwal Wire Products Limited,https://www.chittorgarh.com/ipo/tentiwal_wire_ipo/399/,SME,2013-12-11,2013-12-16,2013-12-31,10,13,10000,21200000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/dec-2013/tentiwal-wire-products-limited_25846.html,Tentiwala Metal Products Limited,http://www.tentiwal.co.in/,https://www.bseindia.com/stock-share-price/tentiwala-metal-products-ltd/tentimetal/537119/,TENTIMETAL,,,https://www.screener.in/company/537119/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain Polyplast Limited,https://www.chittorgarh.com/ipo/captain_polyplast_ipo/397/,SME,2013-11-26,2013-11-28,2013-12-11,10,30,4000,59400000,0,0,0,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/nov-2013/captain-polyplast-limited_25778.html,Captain Polyplast Limited,http://www.captainpolyplast.com,https://www.bseindia.com/stock-share-price/captain-polyplast-ltd/CPL/536974/,CPL,,,https://www.screener.in/company/536974/consolidated/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536974,
Stellar Capital Services Limited,https://www.chittorgarh.com/ipo/stellar_capital_services_ipo/396/,SME,2013-10-15,2013-10-18,2013-11-01,10,20,6000,90100000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/oct-2013/stellar-capital-services-limited_25530.html,Stellar Capital Services Limited,http://www.stellarcapital.in,https://www.bseindia.com/stock-share-price/stellar-capital-services-ltd/STELLAR/536738/,STELLAR,,,https://www.screener.in/company/536738/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536738,
Amrapali Capital & Finance Services Limited,https://www.chittorgarh.com/ipo/amrapali_capital_ipo/395/,SME,2013-10-15,2013-10-18,2013-10-31,10,100,1200,257800000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/oct-2013/amrapali-capital-and-finance-services-limited_25525.html,Amrapali Capital and Finance Services Limited,http://www.amrapali.com/,https://www.bseindia.com/stock-share-price/amrapali-capital-and-finance-services-ltd/ACFSL/536737/,ACFSL,,,https://www.screener.in/company/536737/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536737,
MITCON Consultancy & Engineering Services Limited,https://www.chittorgarh.com/ipo/mitcon_consultancy_ipo/394/,SME,2013-10-15,2013-10-18,2013-11-01,10,61,2000,234400000,0,0,0,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/oct-2013/mitcon-consultancy-and-engineering-services-limited_25515.html,Mitcon Consultancy & Engineering Services Limited,,,,https://www.nseindia.com/get-quotes/equity?symbol=MITCON,MITCON,https://www.screener.in/company/MITCON/consolidated/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R G Securities Finance Limited,https://www.chittorgarh.com/ipo/srg_securities_finance_ipo/390/,SME,2013-10-07,2013-10-14,2013-10-29,10,20,6000,50200000,0,0,0,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/sep-2013/srg-securities-finance-ltd_25412.html,SRG Fingrow Finance Limited,,https://www.bseindia.com/stock-share-price/srg-fingrow-finance-ltd/SRGFFL/536710/,SRGFFL,,,https://www.screener.in/company/536710/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536710,
VCU Data Management Limited,https://www.chittorgarh.com/ipo/vcu_data_management_ipo/393/,SME,2013-10-04,2013-10-08,2013-10-23,10,25,6000,187500000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/sep-2013/vcu-data-management-limited_25431.html,VCU Data Management Limited,http://www.vcupack.com,https://www.bseindia.com/stock-share-price/vcu-data-management-ltd/VCU/536672/,VCU,,,https://www.screener.in/company/536672/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536672,
Subh Tex India Limited,https://www.chittorgarh.com/ipo/subh_tex_india_ipo/392/,SME,2013-09-30,2013-10-07,2013-10-22,10,10,10000,35000000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/sep-2013/subh-tex-india-limited_25444.html,Subh Tex India Limited,http://www.subhtexindia.com/,https://www.bseindia.com/stock-share-price/subh-tex-(india)-ltd/subhtex/536671/,SUBHTEX,,,https://www.screener.in/company/id/572658/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newever Trade Wings Limited,https://www.chittorgarh.com/ipo/newever_trade_wings_ipo/391/,SME,2013-09-30,2013-10-03,2013-10-17,10,10,10000,63200000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/sep-2013/newever-trade-wings-limited_25447.html,Newever Trade Wings Limited,http://www.newever.in/,https://www.bseindia.com/stock-share-price/newever-trade-wings-ltd/newever/536644/,NEWEVER,,,https://www.screener.in/company/id/571158/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satkar Finlease Limited,https://www.chittorgarh.com/ipo/satkar_finlease_ipo/389/,SME,2013-09-25,2013-09-27,2013-10-11,10,18,8000,135100000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/sep-2013/satkar-finlease-limited_25414.html,Satkar Finlease Limited,http://www.satkarfinlease.com/,https://www.bseindia.com/stock-share-price/satkar-finlease-ltd/skfl/536592/,SKFL,,,https://www.screener.in/company/id/567157/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R J Bio-Tech Limited,https://www.chittorgarh.com/ipo/r-j-bio-tech-ipo/407/,SME,2013-09-10,2013-09-12,2013-09-25,10,20,6000,50000000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.bseindia.com/downloads/ipo/201322211310RJ%20Biotech%20Draft%20Prospectus%20Final.pdf,R J Bio-Tech Limited,http://www.rjbiotech.com/,https://www.bseindia.com/stock-share-price/r-j-bio-tech-ltd/RJBIOTECH/536456/,RJBIOTECH,,,https://www.screener.in/company/536456/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Tours Worldwide Limited,https://www.chittorgarh.com/ipo/ace_tours_worldwide_ipo/387/,SME,2013-09-09,2013-09-12,2013-09-26,10,16,8000,80000000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/aug-2013/ace-tours-worldwide-limited_25219.html,Ace Tours Worldwide Limited,http://www.ace1world.com/,https://www.bseindia.com/stock-share-price/ace-tours-worldwide-ltd/atwl/536492/,ATWL,,,https://www.screener.in/company/536492/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Logistics India Limited,https://www.chittorgarh.com/ipo/tiger_logistics_ipo/388/,SME,2013-08-27,2013-08-29,2013-09-12,10,66,2000,75400000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/aug-2013/tiger-logistics-india-limited_25230.html,Tiger Logistics (India) Limited,http://www.tigerlogistics.in,https://www.bseindia.com/stock-share-price/tiger-logistics-india-ltd/TIGERLOGS/536264/,TIGERLOGS,,,https://www.screener.in/company/536264/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536264,
Kushal Tradelink Limited,https://www.chittorgarh.com/ipo/kushal_tradelink_ipo/386/,SME,2013-08-14,2013-08-21,2013-09-04,10,35,4000,277500000,0,0,0,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/aug-2013/kushal-tradelink-limited_25185.html,Kushal Tradelink Limited,http://www.kushallimited.com/,https://www.bseindia.com/stock-share-price/kushal-tradelink-ltd/kushal/536170/,KUSHAL,,,https://www.screener.in/company/id/531262/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VKJ Infradevelopers Limited,https://www.chittorgarh.com/ipo/VKJ_Infradevelopers_ipo/385/,SME,2013-08-12,2013-08-16,2013-08-30,10,25,6000,127500000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/aug-2013/vkj-infradevelopers-limited_25179.html,VKJ Infradevelopers Limited,http://www.vkjinfra.com,https://www.bseindia.com/stock-share-price/vkj-infradevelopers-ltd/VKJINFRA/536128/,VKJINFRA,,,https://www.screener.in/company/536128/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silverpoint Infratech Limited,https://www.chittorgarh.com/ipo/silverpoint_infratech_ipo/384/,SME,2013-08-12,2013-08-14,2013-08-28,10,15,8000,120000000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/aug-2013/silverpoint-infratech-limited_25164.html,Julien Agro Infratech Limited,,https://www.bseindia.com/stock-share-price/julien-agro-infratech-ltd/JULIEN/536073/,JULIEN,,,https://www.screener.in/company/536073/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536073,
GCM Commodity & Derivatives Limited,https://www.chittorgarh.com/ipo/gcm_commodity_ipo/383/,SME,2013-08-01,2013-08-05,2013-04-05,10,20,6000,70200000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/jul-2013/gcm-commodity-and-derivatives-limited_25115.html,GCM Commodity & Derivatives Limited,http://www.gcmcommo.co.in,https://www.bseindia.com/stock-share-price/gcm-commodity-derivatives-ltd/GCMCOMM/535917/,GCMCOMM,,,https://www.screener.in/company/535917/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535917,
Alacrity Securities Limited,https://www.chittorgarh.com/ipo/alacrity_securities_ipo/382/,SME,2013-07-29,2013-08-01,2013-08-14,10,15,8000,91200000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,"https://www.sebi.gov.in/web/?file=/sebi_data/attachdocs/1375096432656.pdf#page=1&zoom=page-width,-15,756",Alacrity Securities Limited,http://www.alacritysec.com,https://www.bseindia.com/stock-share-price/alacrity-securities-ltd/ALSL/535916/,ALSL,,,https://www.screener.in/company/535916/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535916,
Money Masters Leasing & Finance Limited,https://www.chittorgarh.com/ipo/money_masters_ipo/381/,SME,2013-07-23,2013-07-26,2013-08-12,10,15,8000,20000000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/jul-2013/money-masters-leasing-and-finance-limited_25047.html,Money Masters Leasing & Finance Limited,http://www.moneymasters.in,https://www.bseindia.com/stock-share-price/money-masters-leasing-finance-ltd/MMLF/535910/,MMLF,,,https://www.screener.in/company/535910/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535910,
Edynamics Solutions Limited,https://www.chittorgarh.com/ipo/edynamics_solutions_ipo/380/,SME,2013-06-10,2013-06-12,2013-06-26,10,25,6000,156500000,0,0,0,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/jun-2013/edynamics-solutions-limited_24935.html,eDynamics Solutions Limited,,https://www.bseindia.com/stock-share-price/edynamics-solutions-ltd/EDSL/535694/,EDSL,,,https://www.screener.in/company/535694/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India Finsec Limited,https://www.chittorgarh.com/ipo/India_finsec_ipo/379/,SME,2013-05-24,2013-05-28,2013-06-11,10,10,10000,60000000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/may-2013/india-finsec-limited_24799.html,India Finsec Limited,http://www.indiafinsec.com,https://www.bseindia.com/stock-share-price/india-finsec-ltd/IFINSEC/535667/,IFINSEC,,,https://www.screener.in/company/535667/consolidated/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535667,
Onesource Techmedia Limited,https://www.chittorgarh.com/ipo/onesource_techmedia_ipo/378/,SME,2013-05-17,2013-05-21,2013-06-05,10,14,10000,28000000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/may-2013/onesource-techmedia-limited_24763.html,SDC Techmedia Limited,,https://www.bseindia.com/stock-share-price/sdc-techmedia-ltd/SDC/535647/,SDC,,,https://www.screener.in/company/535647/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535647,
Ashapura Intimates Fashion Limited,https://www.chittorgarh.com/ipo/ashapura_intimates_fashion_ipo/374/,SME,2013-03-28,2013-04-04,2013-04-15,10,40,3000,210000000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/mar-2013/ashapura-intimates-fashion-limited_24499.html,Ashapura Intimates Fashion Limited,http://www.ashapurafashion.com/,https://www.bseindia.com/stock-share-price/ashapura-intimates-fashion-ltd/AIFL/535467/,AIFL,https://www.nseindia.com/get-quotes/equity?symbol=AIFL,AIFL,https://www.screener.in/company/AIFL/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
