Company_name,Company_info_url,IPO_category,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_neutral,IPO_Member_avoid,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_RHP_doc,IPO_gmp_link
BMW Ventures Limited,https://www.chittorgarh.com/ipo/bmw-ventures-ipo/2212/,EQ,2025-08-05,2025-08-07,2025-08-12,5.0,70.0,70.0,error,1.0,1.0,0.0,3.0,1.0,0.0,5.06,35.39,30.38,6.46,89.1,70.45,error,error,error,https://www.sebi.gov.in/filings/public-issues/jul-2025/highway-infrastructure-limited-rhp_95618.html,https://www.investorgain.com/chr-gmp/highway-infrastructure-ipo/2180
Epack Prefab Technologies Limited,https://www.chittorgarh.com/ipo/epack-prefab-technologies-ipo/2023/,EQ,2025-09-19,2025-09-23,2025-09-26,2.0,153.0,153.0,error,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.74,2.83,3.0,10.53,7.17,193.01,128.56,21.78,https://www.sebi.gov.in/filings/public-issues/sep-2025/gk-energy-limited-rhp_96636.html,https://www.investorgain.com/chr-gmp/gk-energy-ipo/2042
Jaro Institute of Technology Management & Research Limited,https://www.chittorgarh.com/ipo/jaro-education-ipo/2075/,EQ,2025-08-19,2025-08-21,2025-08-26,2.0,325.0,325.0,error,9.0,2.0,0.0,0.0,0.0,0.0,1.03,0.89,1.1,1.5,4.03,3.25,53.76,45.96,10.49,https://nsearchives.nseindia.com/content/ipo/RHP_GEMAROMA.zip,https://www.investorgain.com/chr-gmp/gem-aromatics-ipo/2032
Solarworld Energy Solutions Limited,https://www.chittorgarh.com/ipo/solarworld-energy-ipo/2174/,EQ,2025-09-29,2025-10-01,2025-10-07,2.0,129.0,129.0,error,6.0,0.0,0.0,1.0,0.0,0.0,1.76,0.17,0.23,1.76,1.12,0.6,1.84,3.08,1.47,https://nsearchives.nseindia.com/content/ipo/RHP_GLOTTIS.zip,https://www.investorgain.com/chr-gmp/glottis-ipo/1998
Seshaasai Technologies Limited,https://www.chittorgarh.com/ipo/seshaasai-technologies-ipo/2048/,EQ,2025-09-22,2025-09-24,2025-09-29,10.0,322.0,322.0,error,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.06,0.2,0.49,0.23,0.44,4.03,4.41,1.17,https://nsearchives.nseindia.com/content/ipo/RHP_GANESHCP.zip,https://www.investorgain.com/chr-gmp/ganesh-consumer-ipo/2045
Anand Rathi Share & Stock Brokers Limited,https://www.chittorgarh.com/ipo/anand-rathi-stock-brokers-ipo/2028/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Ganesh Consumer Products Limited,https://www.chittorgarh.com/ipo/ganesh-consumer-ipo/2045/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Electricals Limited,https://www.chittorgarh.com/ipo/atlanta-electricals-ipo/2011/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Saatvik Green Energy Limited,https://www.chittorgarh.com/ipo/saatvik-green-energy-ipo/2082/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
GK Energy Limited,https://www.chittorgarh.com/ipo/gk-energy-ipo/2042/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Ivalue Infosolutions Limited,https://www.chittorgarh.com/ipo/ivalue-infosolutions-ipo/2227/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
VMS TMT Limited,https://www.chittorgarh.com/ipo/vms-tmt-ipo/2161/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Euro Pratik Sales Limited,https://www.chittorgarh.com/ipo/euro-pratik-ipo/2015/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Urban Company  Limited,https://www.chittorgarh.com/ipo/urban-company-ipo/2425/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Shringar House of Mangalsutra Limited,https://www.chittorgarh.com/ipo/shringar-house-of-mangalsutra-ipo/2003/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Dev Accelerator Limited,https://www.chittorgarh.com/ipo/dev-accelerator-ipo/2117/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Amanta Healthcare Limited,https://www.chittorgarh.com/ipo/amanta-healthcare-ipo/2001/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Vikran Engineering Limited,https://www.chittorgarh.com/ipo/vikran-engineering-ipo/2126/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Anlon Healthcare Limited,https://www.chittorgarh.com/ipo/anlon-healthcare-ipo/2053/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Mangal Electrical Industries Limited,https://www.chittorgarh.com/ipo/mangal-electrical-ipo/2069/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Patel Retail Limited,https://www.chittorgarh.com/ipo/patel-retail-ipo/2318/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Vikram Solar Limited,https://www.chittorgarh.com/ipo/vikram-solar-ipo/2152/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Shreeji Shipping Global Limited,https://www.chittorgarh.com/ipo/shreeji-shipping-global-ipo/2018/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Gem Aromatics Limited,https://www.chittorgarh.com/ipo/gem-aromatics-ipo/2032/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Regaal Resources Limited,https://www.chittorgarh.com/ipo/regaal-resources-ipo/2035/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
BlueStone Jewellery & Lifestyle Limited,https://www.chittorgarh.com/ipo/bluestone-jewellery-ipo/2059/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
JSW Cement Limited,https://www.chittorgarh.com/ipo/jsw-cement-ipo/2230/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
All Time Plastics Limited,https://www.chittorgarh.com/ipo/all-time-plastics-ipo/2125/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Highway Infrastructure Limited,https://www.chittorgarh.com/ipo/highway-infrastructure-ipo/2180/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
National Securities Depository Limited,https://www.chittorgarh.com/ipo/national-securities-depository-limited-nsdl-ipo/2448/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
M&B Engineering Limited,https://www.chittorgarh.com/ipo/mb-engineering-ipo/2049/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lotus Developers & Realty Limited,https://www.chittorgarh.com/ipo/sri-lotus-developers-and-realty-ipo/2027/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Infotech Limited,https://www.chittorgarh.com/ipo/aditya-infotech-ipo/2036/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Laxmi India Finance Limited,https://www.chittorgarh.com/ipo/laxmi-india-finance-ipo/2030/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Shanti Gold International Limited,https://www.chittorgarh.com/ipo/shanti-gold-ipo/2008/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Brigade Hotel Ventures Limited,https://www.chittorgarh.com/ipo/brigade-hotel-ventures-ipo/2094/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
GNG Electronics Limited,https://www.chittorgarh.com/ipo/gng-electronics-ipo/2046/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Indiqube Spaces Limited,https://www.chittorgarh.com/ipo/indiqube-spaces-ipo/2038/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Anthem Biosciences Limited,https://www.chittorgarh.com/ipo/anthem-biosciences-ipo/2029/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Smartworks Coworking Spaces Limited,https://www.chittorgarh.com/ipo/smartworks-coworking-ipo/2034/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Travel Food Services Limited,https://www.chittorgarh.com/ipo/travel-food-services-ipo/2054/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Crizac Limited,https://www.chittorgarh.com/ipo/crizac-ipo/2096/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Indogulf Cropsciences Limited,https://www.chittorgarh.com/ipo/indogulf-cropsciences-ipo/2074/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
HDB Financial Services Limited,https://www.chittorgarh.com/ipo/hdb-financial-ipo/2110/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Sambhv Steel Tubes Limited,https://www.chittorgarh.com/ipo/sambhv-steel-tubes-ipo/2073/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Ellenbarrie Industrial Gases Limited,https://www.chittorgarh.com/ipo/ellenbarrie-industrial-gases-ipo/2189/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Globe Civil Projects Limited,https://www.chittorgarh.com/ipo/globe-civil-projects-ipo/2149/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Kalpataru Limited,https://www.chittorgarh.com/ipo/kalpataru-ipo/2229/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Arisinfra Solutions Limited,https://www.chittorgarh.com/ipo/arisinfra-solutions-ipo/1971/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Oswal Pumps Limited,https://www.chittorgarh.com/ipo/oswal-pumps-ipo/2202/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Scoda Tubes Limited,https://www.chittorgarh.com/ipo/scoda-tubes-ipo/2172/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Prostarm Info Systems Limited,https://www.chittorgarh.com/ipo/prostarm-info-systems-ipo/2016/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Schloss Bangalore Limited,https://www.chittorgarh.com/ipo/leela-hotels-ipo/2182/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Aegis Vopak Terminals Limited,https://www.chittorgarh.com/ipo/aegis-vopak-terminals-ipo/2080/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Belrise Industries Limited,https://www.chittorgarh.com/ipo/belrise-industries-ipo/2083/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Borana Weaves Limited,https://www.chittorgarh.com/ipo/borana-weaves-ipo/2099/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Ather Energy Limited,https://www.chittorgarh.com/ipo/ather-energy-ipo/2357/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Quality Power Electrical Equipments Limited,https://www.chittorgarh.com/ipo/quality-power-ipo/1988/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Hexaware Technologies Limited,https://www.chittorgarh.com/ipo/hexaware-technologies-ipo/1985/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Ajax Engineering Limited,https://www.chittorgarh.com/ipo/ajax-engineering-ipo/1983/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Dr.Agarwal's Health Care Limited,https://www.chittorgarh.com/ipo/dr-agarwals-healthcare-ipo/1975/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Denta Water & Infra Solutions Limited,https://www.chittorgarh.com/ipo/denta-water-ipo/1970/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Stallion India Fluorochemicals Limited,https://www.chittorgarh.com/ipo/stallion-india-ipo/1967/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Laxmi Dental Limited,https://www.chittorgarh.com/ipo/laxmi-dental-ipo/1961/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Quadrant Future Tek Limited,https://www.chittorgarh.com/ipo/quadrant-future-tek-ipo/1954/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Standard Glass Lining Technology Limited,https://www.chittorgarh.com/ipo/standard-glass-lining-ipo/1951/,EQ,,,,,,,,,,,,,,,,,,,,,,,,
Riddhi Display Equipments Limited,https://www.chittorgarh.com/ipo/riddhi-display-ipo/2260/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Shipwaves Online Limited,https://www.chittorgarh.com/ipo/shipwaves-online-ipo/2296/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Shreeji Global FMCG Limited,https://www.chittorgarh.com/ipo/shreeji-global-fmcg-ipo/2513/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Jayesh Logistics Limited,https://www.chittorgarh.com/ipo/jayesh-logistics-ipo/2301/,SME,,,,,,,,,,,,,,,,,,,,,,,,
SK Minerals & Additives Limited,https://www.chittorgarh.com/ipo/sk-minerals-and-additives-ipo/2426/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Sihora Industries Limited,https://www.chittorgarh.com/ipo/sihora-industries-ipo/2566/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Mittal Sections Limited,https://www.chittorgarh.com/ipo/mittal-sections-ipo/2269/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Shlokka Dyes Limited,https://www.chittorgarh.com/ipo/shlokka-dyes-ipo/2118/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Greenleaf Envirotech Limited,https://www.chittorgarh.com/ipo/greenleaf-envirotech-ipo/2515/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Valplast Technologies Limited,https://www.chittorgarh.com/ipo/valplast-technologies-ipo/2220/,SME,,,,,,,,,,,,,,,,,,,,,,,,
B.A.G.Convergence Limited,https://www.chittorgarh.com/ipo/bag-convergence-ipo/2245/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Zelio E-Mobility Limited,https://www.chittorgarh.com/ipo/zelio-e-mobility-ipo/2265/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Sheel Biotech Limited,https://www.chittorgarh.com/ipo/sheel-biotech-ipo/2324/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Infinity Infoway Limited,https://www.chittorgarh.com/ipo/infinity-infoway-ipo/2351/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Munish Forge Limited,https://www.chittorgarh.com/ipo/munish-forge-ipo/2434/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Sunsky Logistics Limited,https://www.chittorgarh.com/ipo/sunsky-logistics-ipo/2460/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Chiraharit Limited,https://www.chittorgarh.com/ipo/chiraharit-ipo/2262/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Sodhani Capital Limited,https://www.chittorgarh.com/ipo/sodhani-capital-ipo/2270/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Vijaypd Ceutical Limited,https://www.chittorgarh.com/ipo/vijaypd-ceutical-ipo/2313/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Om Metallogic Limited,https://www.chittorgarh.com/ipo/om-metallogic-ipo/2326/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Suba Hotels Limited,https://www.chittorgarh.com/ipo/suba-hotels-ipo/2389/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Dhillon Freight Carrier Limited,https://www.chittorgarh.com/ipo/dhillon-freight-carrier-ipo/2446/,SME,,,,,,,,,,,,,,,,,,,,,,,,
DSM Fresh Foods Limited,https://www.chittorgarh.com/ipo/dsm-fresh-foods-ipo/2441/,SME,,,,,,,,,,,,,,,,,,,,,,,,
KVS Castings Limited,https://www.chittorgarh.com/ipo/kvs-castings-ipo/2196/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Rukmani Devi Garg Agro Impex Limited,https://www.chittorgarh.com/ipo/rukmani-devi-garg-ipo/2209/,SME,,,,,,,,,,,,,,,,,,,,,,,,
M P K Steels (I) Limited,https://www.chittorgarh.com/ipo/m-p-k-steels-ipo/2272/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Ameenji Rubber Limited,https://www.chittorgarh.com/ipo/ameenji-rubber-ipo/2291/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Manas Polymers & Energies Limited,https://www.chittorgarh.com/ipo/manas-polymers-and-energies-ipo/2341/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Bhavik Enterprises Limited,https://www.chittorgarh.com/ipo/bhavik-enterprises-ipo/2422/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Chatterbox Technologies Limited,https://www.chittorgarh.com/ipo/chatterbox-technologies-ipo/2072/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat Peanut & Agri Products Limited,https://www.chittorgarh.com/ipo/gujarat-peanut-and-agri-products-ipo/2336/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Earkart Limited,https://www.chittorgarh.com/ipo/earkart-ipo/2473/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Telge Projects Limited,https://www.chittorgarh.com/ipo/telge-projects-ipo/2534/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Praruh Technologies Limited,https://www.chittorgarh.com/ipo/praruh-technologies-ipo/2221/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Gurunanak Agriculture India Limited,https://www.chittorgarh.com/ipo/gurunanak-agriculture-ipo/2246/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Justo Realfintech Limited,https://www.chittorgarh.com/ipo/justo-realfintech-ipo/2430/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Systematic Industries Limited,https://www.chittorgarh.com/ipo/systematic-industries-ipo/2439/,SME,,,,,,,,,,,,,,,,,,,,,,,,
NSB BPO Solutions Limited,https://www.chittorgarh.com/ipo/nsb-bpo-ipo/2195/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Ecoline Exim Limited,https://www.chittorgarh.com/ipo/ecoline-exim-ipo/2143/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Matrix Geo Solutions Limited,https://www.chittorgarh.com/ipo/matrix-geo-solutions-ipo/2268/,SME,,,,,,,,,,,,,,,,,,,,,,,,
True Colors Limited,https://www.chittorgarh.com/ipo/true-colors-ipo/2423/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Aptus Pharma Limited,https://www.chittorgarh.com/ipo/aptus-pharma-ipo/2478/,SME,,,,,,,,,,,,,,,,,,,,,,,,
BharatRohan Airborne Innovations Limited,https://www.chittorgarh.com/ipo/bharatrohan-airborne-innovations-ipo/2546/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Solvex Edibles Limited,https://www.chittorgarh.com/ipo/solvex-edibles-ipo/2093/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Prime Cable Industries Limited,https://www.chittorgarh.com/ipo/prime-cable-industries-ipo/2472/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Siddhi Cotspin Limited,https://www.chittorgarh.com/ipo/siddhi-cotspin-ipo/2615/,SME,,,,,,,,,,,,,,,,,,,,,,,,
JD Cables Limited,https://www.chittorgarh.com/ipo/jd-cables-ipo/2507/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Sampat Aluminium Limited,https://www.chittorgarh.com/ipo/sampat-aluminium-ipo/2304/,SME,,,,,,,,,,,,,,,,,,,,,,,,
TechD Cybersecurity Limited,https://www.chittorgarh.com/ipo/techdefence-labs-ipo/2280/,SME,,,,,,,,,,,,,,,,,,,,,,,,
L.T.Elevator Limited,https://www.chittorgarh.com/ipo/l-t-elevator-ipo/2447/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Airfloa Rail Technology Limited,https://www.chittorgarh.com/ipo/airfloa-rail-technology-ipo/2508/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Galaxy Medicare Limited,https://www.chittorgarh.com/ipo/galaxy-medicare-ipo/2190/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Jay Ambe Supermarkets Limited,https://www.chittorgarh.com/ipo/jay-ambe-ipo/2286/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Taurian MPS Limited,https://www.chittorgarh.com/ipo/taurian-mps-ipo/2100/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Karbonsteel Engineering Limited,https://www.chittorgarh.com/ipo/karbonsteel-engineering-ipo/2253/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Nilachal Carbo Metalicks Limited,https://www.chittorgarh.com/ipo/nilachal-carbo-ipo/2215/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Krupalu Metals Limited,https://www.chittorgarh.com/ipo/krupalu-metals-ipo/2431/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Vashishtha Luxury Fashion Limited,https://www.chittorgarh.com/ipo/vashishtha-luxury-ipo/2359/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Sharvaya Metals Limited,https://www.chittorgarh.com/ipo/sharvaya-metals-ipo/2165/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Vigor Plast India Limited,https://www.chittorgarh.com/ipo/vigor-plast-ipo/2400/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Austere Systems Limited,https://www.chittorgarh.com/ipo/austere-systems-ipo/2337/,SME,,,,,,,,,,,,,,,,,,,,,,,,
